Strain,Metformin_mM,AUC_mean,AUC_sd,AUC_median,AUC_se,number_elements
NT12061,50,8.3908,0.2325687210267105,8.2643,0.1342736136898583,3
NT12061,100,7.703933333333333,0.7106420008227299,7.3754,0.41028935047245735,3
NT12061,200,2.719666666666667,0.8324110783340966,2.9093,0.4805927601526173,3
NT12062,0,12.446866666666667,0.7912512706677527,12.614,0.4568291341166605,3
NT12062,50,6.2576,0.7921420516548785,6.4399,0.45734342675936657,3
NT12062,100,6.671566666666667,0.1889743192429422,6.7339,0.10910437408483896,3
NT12062,200,1.0274333333333332,0.43546717825036285,1.1365,0.25141709258609374,3
NT12063,0,14.980933333333333,0.5371686637671015,14.7076,0.3101344726261676,3
NT12063,50,6.8715,0.23952267116079015,6.8964,0.1382884786717004,3
NT12063,100,4.278933333333334,0.540247372352086,4.1764,0.31191196585646486,3
NT12063,200,0.043866666666666665,0.05394092447607228,0.0177,0.031142807266597607,3
NT12064,0,13.674333333333333,1.031823213216941,13.5529,0.5957234099069055,3
NT12064,50,7.503,0.8432913553452331,7.5579,0.4868744910138547,3
NT12064,100,4.930433333333333,0.7246376289797081,5.0057,0.41836973015636664,3
NT12064,200,0.05653333333333334,0.04690547231755943,0.053900000000000003,0.027080887069009477,3
NT12065,0,7.381200000000001,1.4717000271794525,7.1524,0.8496864068584364,3
NT12065,50,5.104933333333333,1.1020310037985923,5.6296,0.6362578966984308,3
NT12065,100,2.0577666666666667,1.3977696317109387,1.7475,0.8070026731333946,3
NT12065,200,0.0362,0.029829012722515643,0.033,0.01722178852500518,3
NT12066,0,8.571533333333333,4.070332755848511,7.2058,2.3500077122804894,3
NT12066,50,4.5520000000000005,0.9930946530920401,4.0547,0.5733634652934674,3
NT12066,100,2.2603666666666666,1.2590484833132256,1.7147,0.7269119807636809,3
NT12066,200,0.5044,0.7667024651062496,0.0657,0.4426558746174429,3
NT12067,0,13.654333333333334,1.114140997959115,13.8449,0.6432496050868934,3
NT12067,50,9.061066666666667,0.727866844507519,9.1309,0.4202341186106196,3
NT12067,100,5.580033333333334,0.24960000667735016,5.7054,0.1441066310449005,3
NT12067,200,0.0825,0.012483188695201238,0.0804,0.007207172353519328,3
NT12068,0,8.868966666666667,1.8119735354947466,9.2293,1.04614340848237,3
NT12068,50,6.9551,0.6108037409839596,6.6231,0.35264770427911957,3
NT12068,100,5.8453,0.7783998265672983,6.205,0.44940934940578775,3
NT12068,200,1.0371333333333332,1.5818493143575127,0.1886,0.913281127461735,3
NT12069,0,15.537633333333332,1.1084589136875265,15.0549,0.6399690522031336,3
NT12069,50,6.999333333333333,0.6644768343090172,7.3763,0.38363587915858144,3
NT12069,100,3.9957333333333334,0.7226040017418485,4.2733,0.41719561492315704,3
NT12069,200,0.049966666666666666,0.017030658628876726,0.0439,0.0098326553438586,3
NT12070,0,9.3743,0.8881892759992089,9.6625,0.5127963175894821,3
NT12070,50,5.7789,0.27375611408697326,5.9298,0.15805316616041992,3
NT12070,100,2.9447,0.4853658311006247,2.7037,0.28022609324139214,3
NT12070,200,0.032466666666666665,0.02339066765471506,0.0435,0.013504608266974813,3
NT12071,0,12.546833333333334,1.1962288423764629,12.3576,0.6906430441584452,3
NT12071,50,6.2175,0.2671351904935026,6.2774,0.1542305741414457,3
NT12071,100,4.0937,0.29720984169438275,4.2492,0.17159418210805794,3
NT12071,200,1.5518666666666667,0.3055612922693798,1.6584,0.17641589434565635,3
NT12072,0,13.099666666666666,1.5386185243046226,12.3483,0.8883218191874187,3
NT12072,50,7.179233333333333,0.5544041516198572,7.356,0.3200853861775707,3
NT12072,100,4.155766666666667,0.35698423401227847,4.1886,0.20610494360344134,3
NT12072,200,0.11653333333333334,0.061778825930356863,0.0915,0.035668021781110566,3
NT12073,0,12.816,0.920183747954722,12.6279,0.5312683345855775,3
NT12073,50,7.662733333333333,0.6000620162394326,7.3317,0.346445966606306,3
NT12073,100,3.4322666666666666,0.5376916991486229,3.2862,0.3104364472444847,3
NT12073,200,0.04763333333333333,0.0177835129637913,0.0577,0.010267315996782107,3
NT12074,0,13.750366666666666,1.1489106898855688,13.4789,0.6633238960802719,3
NT12074,50,6.1698,1.3782670024345791,6.6234,0.79574282487078285,3
NT12074,100,2.202166666666667,1.5580863401407938,2.2846,0.8995615679009662,3
NT12074,200,0.042366666666666664,0.02891026346011626,0.0543,0.016691348391041125,3
NT12075,0,12.4016,0.6579011171901136,12.4002,0.37983938710986764,3
NT12075,50,7.4151,0.3513046683435902,7.3128,0.202825844835744,3
NT12075,100,4.1264666666666665,0.826299808382728,4.2976,0.47706441680110423,3
NT12075,200,0.06976666666666667,0.012006803626833134,0.072,0.006932131306059085,3
NT12076,0,11.523900000000001,0.9013658302820227,11.2703,0.5204038047516564,3
NT12076,50,6.767333333333333,0.6014617555034842,7.0806,0.3472541064472015,3
NT12076,100,3.0216,0.49919723556926865,3.125,0.2882116583346343,3
NT12076,200,0.05313333333333334,0.019687644179366238,0.0645,0.011366666666666667,3
NT12077,0,12.874166666666666,0.9110519871738024,12.9073,0.5259961100405384,3
NT12077,50,7.2251,0.6852473713922589,7.4055,0.3956277543348041,3
NT12077,100,4.2228666666666665,1.2374266537186491,3.7,0.71442861162688,3
NT12077,200,0.047733333333333336,0.020621428983786102,0.0533,0.011905787574863658,3
NT12078,0,9.144433333333334,0.7198425545446266,8.8634,0.41560129264048806,3
NT12078,50,6.0592,0.18838503125248574,6.1094,0.10876414850491871,3
NT12078,100,1.4748999999999999,1.2761189129544315,1.1993,0.7367675979122137,3
NT12078,200,0.061399999999999996,0.007673982017179868,0.0579,0.004430575583375144,3
NT12079,0,13.952300000000001,1.4536065526819832,13.7642,0.839240134486747,3
NT12079,50,6.1129,0.7008631892174104,6.2825,0.40464355095977156,3
NT12079,100,2.2070666666666665,2.0746066478572107,2.32,1.1977747066029478,3
NT12079,200,0.0424,0.031921622765768036,0.0562,0.018429957496785863,3
NT12080,0,14.2523,0.4686916150306084,14.4174,0.2705992301048422,3
NT12080,50,9.2788,0.3225352228827114,9.3145,0.1862157977544694,3
NT12080,100,5.7695,0.7307204458614803,5.6027,0.42188164612048906,3
NT12080,200,0.06063333333333333,0.013947162196423089,0.066,0.008052397848536242,3
NT12081,0,13.132200000000001,0.5572554800089452,13.0024,0.3217316013905587,3
NT12081,50,6.4081,0.627642358353864,6.691,0.36236948455041496,3
NT12081,100,1.6369333333333334,0.5435236548056886,1.7939,0.3138035284129936,3
NT12081,200,0.05583333333333333,0.008895129753597375,0.053,0.005135605557716094,3
NT12082,0,11.770533333333333,1.1088948296990715,11.5831,0.6402207284297432,3
NT12082,50,8.496733333333333,1.1663042498993705,9.1203,0.6733660726364061,3
NT12082,100,6.514766666666667,0.2740052250110085,6.5833,0.15819699041946975,3
