Strain,estimate,estimate1,estimate2,.y.,group1,group2,n1,n2,statistic,p,df,conf.low,conf.high,method,alternative,p.adj,p.adj.signif
NT12009,2.64445,3.1188166666666666,0.4743666666666667,AUC,50,100,6,6,3.769360496155249,0.005,8.318718806746913,1.0373649590708116,4.251535040929188,T-test,two.sided,0.009226918798665183,**
NT12009,3.0732666666666666,3.1188166666666666,0.04555,AUC,50,200,6,6,5.1445752320818485,0.004,5.003651262924094,1.5379893127121984,4.608544020621134,T-test,two.sided,0.0079568345323741,**
NT12009,0.42881666666666673,0.4743666666666667,0.04555,AUC,100,200,6,6,1.1645470252844867,0.297,5.009615542929542,-0.5171925821622091,1.3748259154955424,T-test,two.sided,0.3039623689080814,ns
NT12010,6.4555,14.244,7.7885,AUC,0,50,6,6,9.681476786920609,2.33e-5,7.139550986312256,4.8850211223723585,8.025978877627642,T-test,two.sided,6.129435114503817e-4,***
NT12010,10.526633333333333,14.244,3.717366666666667,AUC,0,100,6,6,15.393650295600201,4.89e-7,7.660708958637745,8.937479594580457,12.115787072086208,T-test,two.sided,7.37500909090909e-5,****
NT12010,12.516083333333333,14.244,1.7279166666666668,AUC,0,200,6,6,13.012435263396123,2.14e-7,9.557213148295947,10.359400090034821,14.672766576631842,T-test,two.sided,4.73368e-5,****
NT12010,4.071133333333333,7.7885,3.717366666666667,AUC,50,100,6,6,9.434623584107628,3.02e-6,9.84951359598098,3.107674491431295,5.03459217523537,T-test,two.sided,2.0040719999999998e-4,***
NT12010,6.060583333333334,7.7885,1.7279166666666668,AUC,50,200,6,6,7.553666732314797,2.01e-4,6.4214881647126845,4.128153808123178,7.993012858543489,T-test,two.sided,0.0017879839142091155,**
NT12010,1.9894500000000002,3.717366666666667,1.7279166666666668,AUC,100,200,6,6,2.4363987757623695,0.046,6.7985737886458715,0.04695021236822128,3.931949787631779,T-test,two.sided,0.054085046066619416,ns
NT12011,5.027116666666666,13.349266666666667,8.32215,AUC,0,50,6,6,7.81206378727754,3.08e-5,8.778108238568471,3.5657744305390544,6.488458902794278,T-test,two.sided,6.636000000000001e-4,***
NT12011,7.459516666666667,13.349266666666667,5.88975,AUC,0,100,6,6,9.17785312248431,3.98e-6,9.809728569631025,5.643771659636225,9.275261673697107,T-test,two.sided,2.3008426229508198e-4,***
NT12011,10.427366666666668,13.349266666666667,2.9219,AUC,0,200,6,6,7.705954004097227,1.36e-4,6.777992945512152,7.206289821558482,13.648443511774854,T-test,two.sided,0.0015091906354515049,**
NT12011,2.4324000000000003,8.32215,5.88975,AUC,50,100,6,6,3.419128987641067,0.009,8.082622918661263,0.7948017494011965,4.069998250598804,T-test,two.sided,0.014099150141643058,*
NT12011,5.400250000000001,8.32215,2.9219,AUC,50,200,6,6,4.170684763671877,0.006,5.833329072633975,2.2098873437522903,8.59061265624771,T-test,two.sided,0.010406691061160482,*
NT12011,2.9678500000000003,5.88975,2.9219,AUC,100,200,6,6,2.1401696849066227,0.068,7.296924147237594,-0.28440293155073954,6.22010293155074,T-test,two.sided,0.07627586206896551,ns
NT12012,6.174366666666666,14.282583333333333,8.108216666666667,AUC,0,50,6,6,14.812571114363458,4.31e-7,7.988824046553485,5.2129142109172015,7.135819122416131,T-test,two.sided,7.15029e-5,****
NT12012,11.130983333333333,14.282583333333333,3.1516,AUC,0,100,6,6,21.964634315076403,8.6e-10,9.997435042409897,10.001793627602485,12.26017303906418,T-test,two.sided,2.60463e-6,****
NT12012,14.256816666666667,14.282583333333333,0.025766666666666667,AUC,0,200,6,6,39.450200116186885,1.92e-7,5.010514247319833,13.328426065351033,15.185207267982301,T-test,two.sided,4.7162999999999996e-5,****
NT12012,4.956616666666667,8.108216666666667,3.1516,AUC,50,100,6,6,12.034447911860191,1.96e-6,8.066010700743066,4.008196179197744,5.905037154135591,T-test,two.sided,1.5123906976744186e-4,***
NT12012,8.082450000000001,8.108216666666667,0.025766666666666667,AUC,50,200,6,6,38.78675504626941,1.99e-7,5.031689805761652,7.547800904848119,8.617099095151882,T-test,two.sided,4.7162999999999996e-5,****
NT12012,3.1258333333333335,3.1516,0.025766666666666667,AUC,100,200,6,6,8.789050554263097,3.13e-4,5.01085655419193,2.212199160026976,4.039467506639691,T-test,two.sided,0.0022096468085106382,**
NT12013,4.026833333333333,11.45275,7.425916666666667,AUC,0,50,6,6,4.50634080950791,0.001,9.611983345362773,2.0248360463154405,6.028830620351226,T-test,two.sided,0.0031934552454282966,**
NT12013,6.395066666666667,11.45275,5.057683333333333,AUC,0,100,6,6,8.625581476286936,9.1e-5,6.433642983324967,4.610141464718129,8.179991868615204,T-test,two.sided,0.001207752,**
NT12013,11.226616666666667,11.45275,0.22613333333333335,AUC,0,200,6,6,15.820286158051799,8.49e-6,5.50156688709137,9.451347914057731,13.001885419275604,T-test,two.sided,3.35355e-4,***
NT12013,2.3682333333333334,7.425916666666667,5.057683333333333,AUC,50,100,6,6,3.7958608469221824,0.007,7.099115352419868,0.8971121279094766,3.8393545387571906,T-test,two.sided,0.011589820359281437,*
NT12013,7.199783333333333,7.425916666666667,0.22613333333333335,AUC,50,200,6,6,12.290791079547946,2.4e-5,5.751405532348182,5.751261816600345,8.64830485006632,T-test,two.sided,6.129435114503817e-4,***
NT12013,4.83155,5.057683333333333,0.22613333333333335,AUC,100,200,6,6,15.731805290093314,2.43e-7,8.071596560025945,4.124422293894608,5.538677706105392,T-test,two.sided,4.8013411764705885e-5,****
NT12014,4.00045,10.200616666666667,6.200166666666667,AUC,0,50,6,6,3.651118598460493,0.006,8.574199936719417,1.5029637814673389,6.497936218532661,T-test,two.sided,0.010406691061160482,*
NT12014,6.615266666666667,10.200616666666667,3.58535,AUC,0,100,6,6,6.825421875662738,4.52e-4,6.102633088985038,4.253330084518275,8.977203248815059,T-test,two.sided,0.002590217616580311,**
NT12014,10.123916666666666,10.200616666666667,0.0767,AUC,0,200,6,6,11.011146500676702,1.07e-4,5.00367386182956,7.760982879144211,12.48685045418912,T-test,two.sided,0.0013052426470588235,**
NT12014,2.614816666666667,6.200166666666667,3.58535,AUC,50,100,6,6,3.898733708111614,0.005,7.479199263419329,1.0492697778981575,4.180363555435177,T-test,two.sided,0.009226918798665183,**
NT12014,6.123466666666667,6.200166666666667,0.0767,AUC,50,200,6,6,10.265984962489119,1.49e-4,5.0087333469544655,4.5909668001310235,7.65596653320231,T-test,two.sided,0.0015497868338557993,**
NT12014,3.50865,3.58535,0.0767,AUC,100,200,6,6,11.404737116032232,8.71e-5,5.032908494915722,2.7193672077144235,4.297932792285577,T-test,two.sided,0.0011794348178137653,**
NT12015,3.905333333333333,11.0422,7.136866666666666,AUC,0,50,6,6,6.5613324425080535,3.76e-4,6.717024467919369,2.485789449125748,5.3248772175409185,T-test,two.sided,0.002375386363636364,**
NT12015,8.105066666666666,11.0422,2.9371333333333336,AUC,0,100,6,6,6.863196378548397,1.68e-4,7.558206308128762,5.353841516035614,10.856291817297716,T-test,two.sided,0.0016394823529411766,**
NT12015,10.918116666666666,11.0422,0.12408333333333334,AUC,0,200,6,6,19.8606009879866,5.55e-6,5.041234081510316,9.508441000758735,12.327792332574598,T-test,two.sided,2.7080735294117647e-4,***
NT12015,4.199733333333333,7.136866666666666,2.9371333333333336,AUC,50,100,6,6,3.921454791229387,0.009,5.486178925339359,1.5185214614632476,6.8809452052034175,T-test,two.sided,0.014099150141643058,*
NT12015,7.012783333333333,7.136866666666666,0.12408333333333334,AUC,50,200,6,6,30.028731144270033,4.63e-7,5.232724237149203,6.420402806707782,7.605163859958886,T-test,two.sided,7.3154e-5,****
NT12015,2.81305,2.9371333333333336,0.12408333333333334,AUC,100,200,6,6,2.6883711107784207,0.043,5.011347567994368,0.12508291672399088,5.501017083276008,T-test,two.sided,0.05099142244460328,ns
NT12016,4.436983333333334,12.434466666666667,7.997483333333333,AUC,0,50,6,6,5.691976388147848,3.73e-4,8.466044526254253,2.656496986004655,6.217469680662013,T-test,two.sided,0.0023727189292543018,**
NT12016,8.042983333333334,12.434466666666667,4.391483333333333,AUC,0,100,6,6,9.24499223930876,3.77e-6,9.795253847207803,6.099034794267188,9.986931872399479,T-test,two.sided,2.3008426229508198e-4,***
NT12016,12.295233333333334,12.434466666666667,0.13923333333333332,AUC,0,200,6,6,18.633883386420784,7.5e-6,5.051488646394646,10.604267886327992,13.986198780338674,T-test,two.sided,3.0722222222222224e-4,***
NT12016,3.606,7.997483333333333,4.391483333333333,AUC,50,100,6,6,5.10876556480748,6e-4,9.176741373937048,2.013941706364004,5.198058293635996,T-test,two.sided,0.0029768047690014905,**
NT12016,7.85825,7.997483333333333,0.13923333333333332,AUC,50,200,6,6,18.69282681761449,6.48e-6,5.127791609557168,6.785657124192769,8.930842875807231,T-test,two.sided,2.8667520000000003e-4,***
NT12016,4.25225,4.391483333333333,0.13923333333333332,AUC,100,200,6,6,7.448037811540137,6.48e-4,5.068891669353279,2.790626954182207,5.713873045817793,T-test,two.sided,0.0031070289017341044,**
NT12017,5.2046,12.397533333333334,7.192933333333333,AUC,0,50,6,6,8.058102770851484,1.38e-4,6.418237197712907,3.6488103395486777,6.760389660451322,T-test,two.sided,0.0015111683168316833,**
NT12017,8.42895,12.397533333333334,3.968583333333333,AUC,0,100,6,6,10.894570884960615,1.07e-6,9.548140139559779,6.693953201688789,10.163946798311212,T-test,two.sided,1.1452451612903224e-4,***
NT12017,11.091533333333334,12.397533333333334,1.306,AUC,0,200,6,6,13.154570333118663,1.23e-7,9.993686741988533,9.212673584684985,12.970393081981685,T-test,two.sided,4.08114e-5,****
NT12017,3.2243500000000003,7.192933333333333,3.968583333333333,AUC,50,100,6,6,6.019217150349057,4.92e-4,7.144258881072255,1.9628441273672417,4.485855872632759,T-test,two.sided,0.0027162329450915144,**
NT12017,5.886933333333333,7.192933333333333,1.306,AUC,50,200,6,6,9.31624371166032,5.44e-5,6.488134740555687,4.368495375151176,7.40537129151549,T-test,two.sided,9.116121212121212e-4,***
NT12017,2.662583333333333,3.968583333333333,1.306,AUC,100,200,6,6,3.4939828255547516,0.006,9.639215271347222,0.9559801540999087,4.369186512566758,T-test,two.sided,0.010406691061160482,*
NT12018,6.696483333333333,14.48265,7.7861666666666665,AUC,0,50,6,6,9.436170519991624,4.31e-6,9.378174399580931,5.100932478937992,8.292034187728675,T-test,two.sided,2.3065451612903226e-4,***
NT12018,10.69595,14.48265,3.7867,AUC,0,100,6,6,15.629279968535297,8.97e-8,8.896305595447027,9.145080163945195,12.246819836054804,T-test,two.sided,3.8488799999999996e-5,****
NT12018,14.163366666666667,14.48265,0.3192833333333333,AUC,0,200,6,6,24.38677858057609,6.08e-7,5.649563939391516,12.720603962408095,15.60612937092524,T-test,two.sided,8.405600000000001e-5,****
NT12018,3.9994666666666663,7.7861666666666665,3.7867,AUC,50,100,6,6,6.872602870779141,4.58e-5,9.892642715466934,2.7009058007163613,5.298027532616971,T-test,two.sided,8.349692307692307e-4,***
NT12018,7.4668833333333335,7.7861666666666665,0.3192833333333333,AUC,50,200,6,6,16.387011180475387,2.87e-6,6.091459868997147,6.355972174968455,8.577794491698212,T-test,two.sided,1.9977124999999999e-4,***
NT12018,3.467416666666667,3.7867,0.3192833333333333,AUC,100,200,6,6,8.352301997221128,1.2e-4,6.3369370504455755,2.464543401734574,4.470289931598759,T-test,two.sided,0.0013970526315789473,**
NT12019,6.691783333333333,14.182516666666666,7.490733333333333,AUC,0,50,6,6,6.521910115805383,1.02e-4,9.13052217060329,4.375752797703709,9.007813868962957,T-test,two.sided,0.001262820895522388,**
NT12019,9.999266666666667,14.182516666666666,4.18325,AUC,0,100,6,6,9.028884221387521,4.47e-6,9.850410268435633,7.5265689080409865,12.471964425292349,T-test,two.sided,2.3542000000000002e-4,***
NT12019,13.761366666666666,14.182516666666666,0.42115,AUC,0,200,6,6,16.15200489826629,7.19e-6,5.5365539191165025,11.633578511421735,15.889154821911598,T-test,two.sided,2.9820525e-4,***
NT12019,3.307483333333333,7.490733333333333,4.18325,AUC,50,100,6,6,3.4832461615909116,0.006,9.642015579749016,1.1810792606985117,5.433887405968155,T-test,two.sided,0.010406691061160482,*
NT12019,7.069583333333333,7.490733333333333,0.42115,AUC,50,200,6,6,11.163843000638922,3.05e-5,6.007987969358689,5.520558179836814,8.618608486829851,T-test,two.sided,6.614313725490196e-4,***
NT12019,3.7621000000000002,4.18325,0.42115,AUC,100,200,6,6,4.962412164530753,0.003,5.686111824443967,1.8819411408804183,5.642258859119583,T-test,two.sided,0.006557312252964426,**
NT12020,3.262066666666666,8.780483333333333,5.518416666666667,AUC,0,50,6,6,5.993550120762797,1.45e-4,9.795928865531472,2.0459403505098486,4.478192982823482,T-test,two.sided,0.0015321974522292993,**
NT12020,6.039566666666666,8.780483333333333,2.7409166666666667,AUC,0,100,6,6,9.334978905742213,3.85e-6,9.650918964242273,4.590900934353836,7.488232398979496,T-test,two.sided,2.3008426229508198e-4,***
NT12020,8.739583333333332,8.780483333333333,0.0409,AUC,0,200,6,6,21.21843139762143,4.23e-6,5.009555726093708,7.6814028064386815,9.797763860227983,T-test,two.sided,2.3008426229508198e-4,***
NT12020,2.7775000000000003,5.518416666666667,2.7409166666666667,AUC,50,100,6,6,4.530619400305567,0.001,9.041558622331697,1.3916537376933358,4.163346262306664,T-test,two.sided,0.0031934552454282966,**
NT12020,5.477516666666667,5.518416666666667,0.0409,AUC,50,200,6,6,15.376606304003841,2.07e-5,5.01277943662597,4.5625153548243444,6.392517978508989,T-test,two.sided,5.920913793103447e-4,***
NT12020,2.7000166666666665,2.7409166666666667,0.0409,AUC,100,200,6,6,5.408046615610854,0.003,5.006501809645352,1.4171313504241514,3.9829019829091816,T-test,two.sided,0.006557312252964426,**
